algoritmo,numero_de_articulos,valor_optimo,segundos
busqueda_dinamica,5,17,1.6927719116210938e-05
busqueda_con_poda,5,17,0.00010991096496582031
busqueda_dinamica,6,21,2.002716064453125e-05
busqueda_con_poda,6,21,7.081031799316406e-05
busqueda_dinamica,7,30,2.574920654296875e-05
busqueda_con_poda,7,30,5.507469177246094e-05
busqueda_dinamica,8,25,3.2901763916015625e-05
busqueda_con_poda,8,25,6.914138793945312e-05
busqueda_dinamica,9,43,4.291534423828125e-05
busqueda_con_poda,9,43,0.0004999637603759766
busqueda_dinamica,10,33,5.602836608886719e-05
busqueda_con_poda,10,33,0.0008866786956787109
busqueda_dinamica,11,53,5.125999450683594e-05
busqueda_con_poda,11,53,0.0005898475646972656
busqueda_dinamica,12,49,7.987022399902344e-05
busqueda_con_poda,12,49,0.0008032321929931641
busqueda_dinamica,13,51,7.200241088867188e-05
busqueda_con_poda,13,51,0.0003466606140136719
busqueda_dinamica,14,63,9.894371032714844e-05
busqueda_con_poda,14,63,0.004044055938720703
busqueda_dinamica,15,67,8.702278137207031e-05
busqueda_con_poda,15,67,0.0037539005279541016
busqueda_dinamica,16,52,0.000164031982421875
busqueda_con_poda,16,52,0.0018072128295898438
busqueda_dinamica,17,63,0.00020885467529296875
busqueda_con_poda,17,63,0.00861978530883789
