algoritmo,numero_de_articulos,valor_optimo,segundos
busqueda_con_poda,5,14,1.5974044799804688e-05
algoritmo_voraz,5,14,2.7894973754882812e-05
busqueda_con_poda,6,21,2.002716064453125e-05
algoritmo_voraz,6,21,2.5033950805664062e-05
busqueda_con_poda,7,25,2.4080276489257812e-05
algoritmo_voraz,7,25,2.7894973754882812e-05
busqueda_con_poda,8,20,2.8848648071289062e-05
algoritmo_voraz,8,20,2.8848648071289062e-05
busqueda_con_poda,9,33,4.1961669921875e-05
algoritmo_voraz,9,33,3.2901763916015625e-05
busqueda_con_poda,10,30,4.506111145019531e-05
algoritmo_voraz,10,30,3.504753112792969e-05
busqueda_con_poda,11,30,5.1021575927734375e-05
algoritmo_voraz,11,28,4.100799560546875e-05
busqueda_con_poda,12,50,7.605552673339844e-05
algoritmo_voraz,12,50,4.506111145019531e-05
busqueda_con_poda,13,37,6.103515625e-05
algoritmo_voraz,13,37,4.8160552978515625e-05
busqueda_con_poda,14,56,0.00010395050048828125
algoritmo_voraz,14,56,5.1021575927734375e-05
busqueda_con_poda,15,65,9.703636169433594e-05
algoritmo_voraz,15,64,5.412101745605469e-05
busqueda_con_poda,16,56,9.512901306152344e-05
algoritmo_voraz,16,53,5.5789947509765625e-05
busqueda_con_poda,17,52,0.00012302398681640625
algoritmo_voraz,17,48,6.29425048828125e-05
