algoritmo,numero_de_articulos,valor_optimo,segundos
busqueda_exhaustiva,5,18,0.0005779266357421875
busqueda_con_poda,5,18,9.775161743164062e-05
busqueda_exhaustiva,6,22,0.0013780593872070312
busqueda_con_poda,6,22,0.00024080276489257812
busqueda_exhaustiva,7,25,0.002969980239868164
busqueda_con_poda,7,25,8.296966552734375e-05
busqueda_exhaustiva,8,27,0.0066721439361572266
busqueda_con_poda,8,27,0.00026226043701171875
busqueda_exhaustiva,9,30,0.014854907989501953
busqueda_con_poda,9,30,0.0004699230194091797
busqueda_exhaustiva,10,30,0.0324549674987793
busqueda_con_poda,10,30,0.00015497207641601562
busqueda_exhaustiva,11,38,0.07054686546325684
busqueda_con_poda,11,38,5.3882598876953125e-05
busqueda_exhaustiva,12,42,0.15035009384155273
busqueda_con_poda,12,42,0.0007050037384033203
busqueda_exhaustiva,13,65,0.3251159191131592
busqueda_con_poda,13,65,0.0022950172424316406
busqueda_exhaustiva,14,48,0.6877329349517822
busqueda_con_poda,14,48,0.0005230903625488281
busqueda_exhaustiva,15,55,1.4880928993225098
busqueda_con_poda,15,55,0.0009970664978027344
busqueda_exhaustiva,16,75,3.137454032897949
busqueda_con_poda,16,75,0.006014347076416016
busqueda_exhaustiva,17,56,6.682870149612427
busqueda_con_poda,17,56,0.0009829998016357422
